,0
0,Arkansas
1,Colorado
2,Connecticut
3,Delaware
4,Georgia
5,Idaho
6,Illinois
7,Indiana
8,Iowa
9,Kentucky
10,Louisiana
11,Maine
12,Massachusetts
13,Michigan
14,Minnesota
15,Mississippi
16,Montana
17,Nebraska
18,Nevada
19,New Hampshire
20,New Jersey
21,New Mexico
22,North Carolina
23,North Dakota
24,Oklahoma
25,Oregon
26,Pennsylvania
27,Rhode Island
28,South Carolina
29,South Dakota
30,Tennessee
31,Texas
32,Utah
33,Vermont
34,Virginia
35,West Virginia
36,Wisconsin
37,Wyoming
